"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U11";"TO-252-2";1;"L7805";;;
2;"LED2,LED1,LED10,LED3,LED9,LED5,LED8,LED4,LED7,LED11,LED6,LED12";"LED_SK6805_PLCC4_2.4x2.7mm_P1.3mm";12;"SK6805";;;
3;"R13,R12,R29,R41,R49,R30,R37,R38,R43,R35,R15,R20,R44,R14,R28,R21,R27,R22,R42,R51,R36,R50,R23,R52";"R_0402_1005Metric";24;"100K";;;
4;"SW5,SW4";"SOT-363_SC-70-6";2;"~";;;
5;"C3,C7,C2,C4,C10";"C_0402_1005Metric";5;"1u";;;
6;"D2,D5,D1";"D_SMA";3;"type="D" model="DIODE" lib=""";;;
7;"U8,U7";"SOIC-14_3.9x8.7mm_P1.27mm";2;"TL074";;;
8;"R59,R10,R6,R7";"R_0402_1005Metric";4;"10K";;;
9;"J17,J16,J12,J4,J3,J15,J13,J7,J6,J9,J14,J10";"Thonkiconn Mono Jack";12;"Thonkiconn_Mono_Jack";;;
10;"D3,D6,D4";"D_SOD-123";3;"D";;;
11;"R5,R4";"R_0402_1005Metric";2;"27R4";;;
12;"R32,R17,R9,R53,R8,R16,R61,R54,R46,R45,R31,R55";"R_0402_1005Metric";12;"270K";;;
13;"C13,C17,C15";"C_0402_1005Metric";3;"2u2";;;
14;"DAC2,DAC1";"MSOP-10_3x3mm_P0.5mm";2;"MCP4728";;;
15;"R58";"R_0402_1005Metric";1;"5K6";;;
16;"R11,R48,R33,R18,R56,R19,R57,R47,R34";"R_0402_1005Metric";9;"1K";;;
17;"U5";"SOT-23-3";1;"~";;;
18;"C16,C22,C27,C40,C18,C36,C35,C24,C41,C21,C37,C38,C14,C5,C23,C6,C39,C1,C31";"C_0402_1005Metric";19;"100n";;;
19;"U9";"TSSOP-14_4.4x5mm_P0.65mm";1;"MCP6004";;;
20;"P1";"USB_C_Receptacle_G-Switch_GT-USB-7010ASV";1;"USB_C_Plug_USB2.0";;;
21;"U1";"SOIC-8_3.9x4.9mm_P1.27mm";1;"MCP6002-xSN";;;
22;"Q1";"SOT-23";1;"BSS138";;;
23;"C32,C12,C30,C19,C20,C11,C33,C29";"C_0402_1005Metric";8;"100p";;;
24;"R62,R60";"R_0402_1005Metric";2;"200R";;;
25;"R1,R2,R3";"R_0402_1005Metric";3;"2K2";;;
26;"R39,R25,R26,R40";"R_0402_1005Metric";4;"15K";;;
27;"U6";"SOIC-8_5.23x5.23mm_P1.27mm";1;"~";;;
28;"SW3";"TS-1187A-B-A-B";1;"~";;;
29;"SW1";"Switch Tactile Momentary C&K";1;"B1";;;
30;"U2";"SOT-23";1;"LM4040DBZ-2.0";;;
31;"C25,C28,C26";"C_0805_2012Metric";3;"10u";;;
32;"U3";"SOT-23";1;"LM4040DBZ-10";;;
33;"C9,C8";"C_0402_1005Metric";2;"10p";;;
34;"U12";"SOT-23";1;"LM4040DBZ-4.1";;;
35;"J8,J5";"PinSocket_1x16_P2.54mm_Vertical";2;"Conn_01x16_Pin";;;
36;"P3,P2";"Potentiometer 9mm Vertical Linear Centred";2;"Potentiometer_9mm_Vertical_Linear";;;
37;"OLED1";"Enoki OLED SSD1306 128x64";1;"~";;;
38;"R24";"R_0402_1005Metric";1;"1R";;;
39;"D7";"LED_0603_1608Metric";1;"LED";;;
40;"SW2";"Switch Tactile Momentary C&K";1;"B2";;;
41;"U10";"SOIC-14_3.9x8.7mm_P1.27mm";1;"MCP3428";;;
42;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"Crystal_GND2";;;
43;"U4";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
44;"J18";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Pin";;;
45;"J2,J1";"PinHeader_1x16_P2.54mm_Vertical";2;"Conn_01x16_Pin";;;
46;"J11";"Eurorack Power Header 16 Pin Unlabeled";1;"Conn_02x08_Odd_Even";;;
47;"J22";"PinHeader_1x11_P2.54mm_Vertical";1;"Conn_01x11_Pin";;;
