Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Radial_D5.0mm_P2.00mm,2,1uF (Polarised),
"C10, C11, C12, C13, C14, C3, C4, C5, C6, C7, C8, C9",C_Radial_D5.0mm_H11.0mm_P2.00mm,12,100nF,
"C15, C16",CP_Radial_D5.0mm_P2.00mm,2,10uF (Polarised),
C17,C_Radial_D5.0mm_H11.0mm_P2.00mm,1,1uF,
C18,C_Radial_D5.0mm_H11.0mm_P2.00mm,1,10uF,
"D1, D2, D3, D4",D_DO-41_SOD81_P2.54mm_Vertical_KathodeUp,4,1N5817 Schottky Diode,
"H1, H2, H3, H4",MountingHole_2.7mm_M2.5_ISO14580_Pad_TopBottom,4,MountingHole_Pad,
J1,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,Output 1 Jack,
J10,IDC-Header_euroRack-2x08_and_2x05_P2.54mm_Vertical,1,Eurorack Power 2x8 16p,
J11,PinSocket_1x12_P2.54mm_Vertical,1,Conn_01x12_Socket,
J12,LCD_OLED_0.91in_128x32px_I2C,1,OLED 64x128,
J13,USBmicroB_panelMount,1,USB_B_Micro,
J14,OLED_switch_TPH-CPC_VCC+3v,1,Conn_01x03_Pin,
"J15, J18",PinSocket_1x04_P2.54mm_Vertical,2,Conn_01x04_Pin,
J16,OLED_switch_TPH-CPC,1,Conn_02x04_Top_Bottom,
J17,PinHeader_1x12_P2.54mm_Vertical,1,Conn_01x12_Pin,
J19,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
J2,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,Output 2 Jack,
"J20, J5",Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,2,Output 5 Jack,
J21,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J3,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,Output 3 Jack,
J4,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,Output 4 Jack,
J6,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,Output 6 Jack,
J7,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,Digital Input Jack,
J8,Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles,1,Analogue Input Jack,
"LED1, LED2, LED3, LED4, LED5, LED6, LED7",LED_D1.8mm_W3.3mm_H2.4mm,7,LED,
O1,DIP-8_W7.62mm,1,MCP6002,
O3,DIP-14_W7.62mm_Socket_gap_in_the_middle,1,TL074-1,
O5,DIP-14_W7.62mm_Socket_gap_in_the_middle,1,TL074-2,
Q1,TO-92,1,2N2222,
"R1, R10, R11, R12, R19, R2, R20, R3, R4, R41, R5, R6, R7, R8, R9, Rx1",R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,16,1K,
"R13, R14, R15, R16, R17, R18",R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,6,4K7,
"R21, R22, R23",R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,3,22K,
"R24, R25, R26",R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,3,10K,
"R27, R28, R29, R30, R31, R32, R33, R34",R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,8,100K,
"R35, R36, R37, R38, R39, R40",R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical,6,220K,
"SW1, SW2",SW_Cherry_MX_1.00u_PCB,2,SW_Push,
U1,TO-220-3_Vertical,1,L7805,
U2,RaspberryPi_Pico_Common_THT-minimal_courtyard_assumed_mounted_high,1,PICO_RP2040,
U3,DIP-8_W7.62mm,1,LM555xN,
VR1,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,KNOB 1,
VR2,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,KNOB 2,
VR3,Potentiometer_Bourns_PTV09A-1_Single_Vertical,1,10K,
