"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"O3";"SO-14_3.9x8.65mm_P1.27mm";1;"TL074-1";;;
2;"R21,R22,R23";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"22K";;;
3;"R16,R17,R13,R18,R14,R15";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"4K7";;;
4;"R24,R26,R25";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"10K";;;
5;"R6,R20,R41,R11,Rx1,R1,R19,R5,R8,R10,R2,R9,R7,R3,R4,R12";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";16;"1K";;;
6;"C1,C2,C17";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"1uF";;;
7;"J8";"Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles";1;"Analogue Input Jack";;;
8;"R30,R31,R29,R32,R28,R27,R34,R33";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";8;"100K";;;
9;"J4";"Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles";1;"Output 4 Jack";;;
10;"LED6,LED5,LED7,LED2,LED4,LED3,LED1";"LED_D1.8mm_W3.3mm_H2.4mm";7;"LED";;;
11;"U3";"SO-8_3.9x4.9mm_P1.27mm";1;"LM555xN";;;
12;"D2,D3,D1,D4";"D_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"type="D" model="DIODE" lib=""";;;
13;"C16,C18,C15";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"10uF";;;
14;"C3,C11,C14,C5,C12,C4,C10,C13,C7,C9,C8,C6";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";12;"100nF";;;
15;"VR3";"Potentiometer_Bourns_PTV09A-1_Single_Vertical";1;"10K";;;
16;"J2";"Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles";1;"Output 2 Jack";;;
17;"O1";"SO-8_3.9x4.9mm_P1.27mm";1;"MCP6002";;;
18;"SW2,SW1";"SW_Cherry_MX_1.00u_PCB";2;"SW_Push";;;
19;"R37,R36,R39,R40,R38,R35";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"220K";;;
20;"J7";"Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles";1;"Digital Input Jack";;;
21;"J1";"Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles";1;"Output 1 Jack";;;
22;"J20,J5";"Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles";2;"Output 5 Jack";;;
23;"J11";"PinSocket_1x13_P2.54mm_Vertical";1;"Conn_01x13_Socket";;;
24;"J3";"Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles";1;"Output 3 Jack";;;
25;"O5";"SO-14_3.9x8.65mm_P1.27mm";1;"TL074-2";;;
26;"REF**";"PCB-eurorack-front-128.5x40.3";1;"PCB-eurorack-front-128.5x40.3";;;
27;"J18,J15";"PinSocket_1x04_P2.54mm_Vertical";2;"Conn_01x04_Pin";;;
28;"Q1";"SOT-23";1;"2N2222";;;
29;"VR1";"Potentiometer_Bourns_PTV09A-1_Single_Vertical";1;"KNOB 1";;;
30;"VR2";"Potentiometer_Bourns_PTV09A-1_Single_Vertical";1;"KNOB 2";;;
31;"J12";"LCD_OLED_0.91in_128x32px_I2C";1;"OLED 64x128";;;
32;"J6";"Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles";1;"Output 6 Jack";;;
33;"U1";"TO-252-3_TabPin2";1;"L7805";;;
34;"J14";"OLED_switch_TPH-CPC_VCC+3v";1;"Conn_01x03_Pin";;;
35;"J13";"USBmicroB_panelMount";1;"USB_B_Micro";;;
36;"J16";"OLED_switch_TPH-CPC";1;"Conn_02x04_Top_Bottom";;;
37;"U2";"RaspberryPi_Pico_Common_THT-minimal_courtyard_assumed_mounted_high";1;"PICO_RP2040";;;
38;"J21";"PinSocket_1x03_P2.54mm_Vertical";1;"Conn_01x03_Pin";;;
39;"J19";"PinSocket_1x04_P2.54mm_Vertical";1;"Conn_01x04_Socket";;;
40;"J17";"PinSocket_1x13_P2.54mm_Vertical";1;"Conn_01x13_Pin";;;
41;"J10";"IDC-Header_euroRack-2x08_and_2x05_P2.54mm_Vertical";1;"Eurorack Power 2x8 16p";;;
