Designator,Mid X,Mid Y,Rotation,Layer
C1,185.674,-98.2765,90.0,top
C10,190.8315,-125.0486,0.0,top
C11,190.8315,-138.0026,0.0,top
C12,190.8315,-135.0816,0.0,top
C13,190.8315,-130.3826,0.0,top
C14,190.8315,-127.5886,0.0,top
C15,185.894,-73.382,0.0,top
C16,179.544,-73.382,0.0,top
C17,103.632,-141.042,90.0,top
C18,103.124,-145.415,270.0,top
C2,181.449,-77.7,0.0,top
C3,172.305,-150.09,0.0,top
C4,172.3265,-140.184,180.0,top
C5,183.227,-150.09,0.0,top
C6,183.7135,-140.5396,180.0,top
C7,197.866,-105.918,270.0,top
C8,197.866,-101.346,90.0,top
C9,190.8315,-122.5086,0.0,top
D1,169.7396,-90.5778,270.0,top
D2,178.8582,-90.5016,270.0,top
D3,175.7594,-79.2748,90.0,top
D4,175.6832,-69.4958,90.0,top
J1,86.614,-97.194,0.0,top
J10,167.606,-81.637,180.0,bottom
J11,164.812,-92.051,0.0,top
J12,117.9576,-48.142,180.0,top
J13,142.2455,-141.986,0.0,bottom
J15,199.864,-81.891,180.0,bottom
J17,83.058,-60.08,0.0,bottom
J18,195.9905,-80.113,180.0,top
J19,114.2115,-48.142,180.0,bottom
J2,101.605824,-97.194,0.0,top
J20,112.776707,-139.065,0.0,top
J21,105.664,-150.664,90.0,bottom
J3,116.597648,-97.194,0.0,top
J4,86.614,-114.974,0.0,top
J5,101.605824,-114.974,0.0,top
J6,116.597648,-114.974,0.0,top
J7,118.461,-32.1908,270.0,top
J8,84.720648,-32.14,90.0,top
LED1,85.344,-94.116,0.0,top
LED2,100.325,-94.116,0.0,top
LED3,115.316,-94.116,0.0,top
LED4,85.339,-111.896,0.0,top
LED5,100.330824,-111.896,0.0,top
LED6,115.311,-111.896,0.0,top
LED7,105.918,-147.066,90.0,top
O1,184.116,-83.577,270.0,top
O3,171.086,-145.391,90.0,top
O5,182.77,-145.391,90.0,top
Q1,174.697,-95.48,90.0,top
R1,186.164,-122.5086,180.0,top
R10,93.472,-120.278,270.0,top
R11,110.773,-111.896,180.0,top
R12,109.739648,-122.789,270.0,top
R13,92.456,-94.116,0.0,top
R14,96.266,-90.052,0.0,top
R15,115.581648,-90.306,180.0,top
R16,93.472,-112.121,270.0,top
R17,108.458,-103.993,90.0,top
R18,109.8042,-116.2718,270.0,top
R19,102.108,-53.34,270.0,top
R2,186.148,-125.0486,180.0,top
R20,102.235,-62.112,270.0,top
R21,186.0296,-152.146,0.0,top
R22,189.882,-151.487,0.0,top
R23,186.799,-77.7,0.0,top
R24,194.58,-102.362,180.0,top
R25,194.564,-104.902,180.0,top
R26,178.909,-113.911,270.0,top
R27,103.632,-32.512,90.0,top
R28,99.568,-32.512,270.0,top
R29,168.241,-151.36,0.0,top
R3,186.148,-138.0026,180.0,top
R30,180.7464,-152.146,180.0,top
R31,178.054,-120.904,90.0,top
R32,167.53,-135.231,90.0,top
R33,169.638,-126.9536,90.0,top
R34,175.006,-120.904,90.0,top
R35,165.32,-150.963,270.0,top
R36,176.912,-151.487,180.0,top
R37,178.258,-124.968,180.0,top
R38,167.53,-139.295,90.0,top
R39,171.594,-131.5256,270.0,top
R4,186.148,-135.0816,180.0,top
R40,173.99,-124.968,0.0,top
R41,106.172,-141.012,270.0,top
R5,186.148,-130.3826,180.0,top
R6,186.148,-127.5886,180.0,top
R7,93.218,-101.736,270.0,top
R8,105.918,-89.515,270.0,top
R9,109.982,-93.862,270.0,top
Rx1,97.536,-150.68,270.0,top
SW1,114.0714,-72.8054,0.0,top
SW2,94.234,-72.78,0.0,top
U1,180.941,-61.515,180.0,bottom
U2,191.83,-113.768,0.0,bottom
U3,99.06,-145.076,270.0,top
VR1,108.8594,-52.5974,270.0,top
VR2,89.332648,-52.587,270.0,top
VR3,94.996,-143.378,180.0,top
