Designator,Mid X,Mid Y,Rotation,Layer
C1,194.58,-60.08,0.0,top
C10,191.516,-88.590701,0.0,top
C11,165.809352,-110.3706,0.0,top
C12,165.793352,-103.7666,0.0,top
C13,173.635352,-103.7666,180.0,top
C14,173.651352,-110.3706,180.0,top
C15,185.399352,-45.0926,0.0,top
C16,179.372,-47.9134,0.0,top
C2,171.45,-60.0894,90.0,top
C3,185.399352,-33.9166,0.0,top
C4,179.372,-42.3254,0.0,top
C5,185.399352,-39.5046,0.0,top
C6,179.372,-36.7374,0.0,top
C7,195.58,-72.78,90.0,top
C8,195.58,-64.938,270.0,top
C9,191.516,-82.494701,0.0,top
D1,170.18,-71.0274,90.0,top
D2,175.598,-65.4394,0.0,top
D3,176.022,-48.904,90.0,top
D4,175.913352,-30.569,90.0,top
J1,86.614,-97.194,0.0,top
J10,167.132,-49.666,180.0,bottom
J11,164.338,-60.08,0.0,top
J12,117.9576,-48.142,180.0,top
J13,142.2455,-141.986,0.0,bottom
J15,199.39,-56.27,180.0,bottom
J17,83.058,-60.08,0.0,bottom
J18,195.5165,-48.142,180.0,top
J19,114.2115,-48.142,180.0,bottom
J2,101.605824,-97.194,0.0,top
J3,116.597648,-97.194,0.0,top
J4,86.614,-114.974,0.0,top
J5,101.605824,-114.974,0.0,top
J6,116.597648,-114.974,0.0,top
J7,118.461,-32.1908,270.0,top
J8,84.720648,-32.14,90.0,top
LED1,87.889,-94.116,180.0,top
LED2,102.880824,-94.116,180.0,top
LED3,117.872648,-94.116,180.0,top
LED4,85.339,-111.896,0.0,top
LED5,100.330824,-111.896,0.0,top
LED6,117.872648,-111.896,180.0,top
O1,184.658,-61.8834,180.0,top
O3,197.104,-119.2874,180.0,top
O5,167.841352,-131.1986,90.0,top
Q1,175.748,-70.2654,0.0,top
R1,186.915,-85.7304,270.0,top
R10,93.472,-120.278,270.0,top
R11,110.773,-111.896,180.0,top
R12,109.739648,-122.789,270.0,top
R13,90.903,-94.116,0.0,top
R14,96.266,-90.052,0.0,top
R15,115.581648,-90.306,180.0,top
R16,93.472,-112.121,270.0,top
R17,108.458,-103.993,270.0,top
R18,109.739648,-115.14,270.0,top
R19,102.119648,-52.714,270.0,top
R2,191.545,-93.6334,180.0,top
R20,102.235,-62.112,270.0,top
R21,200.382352,-130.9446,180.0,top
R22,168.066352,-94.3686,0.0,top
R23,177.038,-95.6944,90.0,top
R24,193.069,-53.2474,180.0,top
R25,191.291,-62.6744,90.0,top
R26,186.915,-77.6314,270.0,top
R27,99.579648,-28.428,270.0,top
R28,103.516648,-31.142,270.0,top
R29,190.246,-122.8724,270.0,top
R3,168.857352,-116.4666,0.0,top
R30,193.548,-122.8434,270.0,top
R31,164.539352,-119.2026,270.0,top
R32,186.436,-116.7474,90.0,top
R33,186.436,-103.7354,270.0,top
R34,164.539352,-131.7066,90.0,top
R35,196.85,-122.8144,270.0,top
R36,196.342,-100.2664,90.0,top
R37,192.479352,-130.9446,180.0,top
R38,186.436,-124.8754,90.0,top
R39,191.32,-100.2084,180.0,top
R4,168.603352,-98.4326,0.0,top
R40,168.603352,-120.0516,0.0,top
R5,178.255352,-102.2136,270.0,top
R6,177.239352,-119.2606,0.0,top
R7,93.218,-101.736,270.0,top
R8,105.918,-89.515,270.0,top
R9,109.982,-93.862,270.0,top
SW1,114.0714,-72.8054,0.0,top
SW2,94.234,-72.78,0.0,top
U1,181.303352,-29.2736,180.0,bottom
U2,191.356,-91.4714,0.0,bottom
VR1,108.8594,-52.5974,270.0,top
VR2,89.332648,-52.587,270.0,top
